time (seconds),x_0,y_0,z_0,x_1,y_1,z_1,x_2,y_2,z_2,x_3,y_3,z_3,x_4,y_4,z_4,x_5,y_5,z_5,x_6,y_6,z_6,u_0,u_1,u_2,u_3,u_4,u_5,u_6,u_7,u_8,
0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.145014,0.000000,0.000000,-0.290029,0.000000,0.000000,-0.435029,0.000000,0.000000,-0.580037,0.000000,0.000000,-0.725028,0.000000,0.000000,-0.870026,0.000000,0.000009,0.000009,0.000009,0.000009,0.000009,0.000009,0.000009,0.000009,0.000009,
0.012000,0.000000,-0.000000,-0.000000,0.000000,-0.145007,-0.000000,0.000000,-0.290019,-0.000000,0.000000,-0.435016,-0.000000,0.000000,-0.580020,-0.000000,0.000000,-0.725009,-0.000000,0.000000,-0.870005,-0.000000,0.000016,0.000016,0.000016,0.000016,0.000016,0.000016,0.000016,0.000016,0.000016,
0.023000,0.000000,-0.000000,-0.000000,0.000000,-0.145002,-0.000000,0.000000,-0.290011,-0.000000,0.000000,-0.435005,-0.000000,0.000000,-0.580006,-0.000000,0.000000,-0.724992,-0.000000,0.000000,-0.869987,-0.000000,0.000022,0.000022,0.000022,0.000022,0.000022,0.000022,0.000022,0.000022,0.000022,
0.032000,0.000000,-0.000000,-0.000000,-0.000000,-0.144998,0.000000,-0.000000,-0.290003,0.000000,-0.000000,-0.434995,0.000000,-0.000000,-0.579993,0.000000,-0.000000,-0.724977,0.000000,-0.000000,-0.869971,0.000000,0.000028,0.000028,0.000028,0.000028,0.000028,0.000028,0.000028,0.000028,0.000028,
0.042000,0.000000,-0.000000,-0.000000,-0.000000,-0.144994,0.000000,-0.000000,-0.289997,0.000000,-0.000000,-0.434987,0.000000,-0.000000,-0.579983,0.000000,-0.000000,-0.724965,0.000000,-0.000000,-0.869958,0.000000,0.000032,0.000032,0.000032,0.000032,0.000032,0.000032,0.000032,0.000032,0.000032,
0.050000,0.000000,-0.000000,-0.000000,0.000000,-0.144990,0.000000,0.000000,-0.289992,0.000000,-0.000000,-0.434979,0.000000,-0.000000,-0.579974,0.000000,-0.000000,-0.724954,0.000000,-0.000000,-0.869947,0.000000,0.000036,0.000036,0.000036,0.000036,0.000036,0.000036,0.000036,0.000036,0.000036,
0.060000,0.000000,-0.000000,-0.000000,0.000000,-0.144987,-0.000000,0.000000,-0.289987,-0.000000,0.000000,-0.434973,-0.000000,0.000000,-0.579966,-0.000000,0.000000,-0.724945,-0.000000,0.000000,-0.869937,-0.000000,0.000039,0.000039,0.000039,0.000039,0.000039,0.000039,0.000039,0.000039,0.000039,
0.069000,0.000000,-0.000000,0.000000,0.000000,-0.144985,-0.000000,0.000000,-0.289983,-0.000000,0.000000,-0.434968,-0.000000,0.000000,-0.579960,-0.000000,0.000000,-0.724938,-0.000000,0.000000,-0.869929,-0.000000,0.000042,0.000042,0.000042,0.000042,0.000042,0.000042,0.000042,0.000042,0.000042,
0.078000,0.000000,-0.000000,-0.000000,0.000000,-0.144983,-0.000000,-0.000000,-0.289980,0.000000,-0.000000,-0.434964,0.000000,-0.000000,-0.579954,0.000000,-0.000000,-0.724931,0.000000,-0.000000,-0.869921,0.000000,0.000045,0.000045,0.000045,0.000045,0.000045,0.000045,0.000045,0.000045,0.000045,
0.086000,0.000000,-0.000000,-0.000000,-0.000000,-0.144981,0.000000,-0.000000,-0.289977,0.000000,-0.000000,-0.434960,0.000000,-0.000000,-0.579949,-0.000000,-0.000000,-0.724925,-0.000000,-0.000000,-0.869915,-0.000000,0.000047,0.000047,0.000047,0.000047,0.000047,0.000047,0.000047,0.000047,0.000047,
